# 번호,X 시작지점,X 끝지점,Y 시작지점,Y 끝지점,가로크기
441,32640,32831,32704,32895,192
442,32704,32895,32704,32895,192
443,32704,32895,32704,32895,192
444,32704,32767,32768,32831,64
445,32704,32831,32832,32895,128
497,32704,32895,32768,32959,192
498,32704,32895,32768,32959,192
499,32640,32895,32640,32895,256
500,32640,32831,32704,32959,192
501,32640,32895,32640,32895,256
502,32640,32831,32704,32895,192
503,32768,32895,32896,33023,128
505,32576,32895,32704,32895,320
506,32576,32895,32768,33023,320
508,32768,32895,33088,33215,128
521,32640,32767,32832,33023,128
522,32640,32767,32832,32959,128
523,32640,32767,32832,32959,128
524,32640,32767,32832,32959,128
560,32640,32895,32640,32895,256
561,32640,32895,32640,32895,256
562,32576,32831,32704,32959,256
563,32576,32831,32704,32959,256
564,32576,32831,32704,32959,256
565,32576,32831,32704,32959,256
566,32576,32831,32704,32959,256
653,32640,32895,32640,32895,256
654,32640,32895,32640,32895,256
655,32640,32831,32704,32959,192
656,32640,32895,32640,32895,256
666,32640,32831,32704,32895,192
777,32512,32767,32832,33087,256
780,32576,32831,32704,33087,256
781,32704,33023,32704,32895,320
782,32704,32831,32768,32895,128
783,32704,33343,32576,32959,640
784,32704,32767,32832,32895,64
800,32704,32895,32832,33023,192
807,32640,32895,32640,32895,256
808,32640,32895,32640,32895,256
809,32640,32895,32640,32895,256
810,32640,32831,32640,32895,192
811,32640,32895,32640,32895,256
812,32640,32895,32640,32895,256
813,32640,32895,32640,32895,256
814,32576,32831,32704,32959,256
815,32576,32895,32704,32959,320
1180,32640,32959,33088,33407,320
1700,32576,33023,32640,33087,448
2100,32768,32831,32768,32831,64
2101,32704,32895,32768,32959,192
2151,32704,32895,32768,32959,192
2201,32704,32895,32768,32959,192
2202,32704,32895,32768,32959,192
2203,32704,32895,32768,32959,192
4234,32576,32895,32768,33087,320
5124,32768,32831,32768,32831,64
5167,32512,32767,32704,32959,256
5300,32640,32895,32704,32959,256
7002,32512,32767,32512,32767,256
7007,32704,32895,32768,32959,192
7785,32640,33023,32768,32959,384
7786,32704,32895,32768,32959,192
9100,32704,32767,32832,32895,64
16384,32704,32767,32768,32831,64
16896,32704,32767,32768,32831,64
17408,32704,32767,32768,32831,64
17920,32704,32767,32768,32831,64
18432,32704,32767,32768,32831,64
18944,32704,32767,32768,32831,64
19456,32704,32767,32768,32831,64
19968,32704,32767,32768,32831,64
20480,32704,32767,32768,32831,64
20992,32704,32767,32768,32831,64
21504,32704,32767,32768,32831,64
22016,32704,32767,32768,32831,64
22528,32704,32767,32768,32831,64
23040,32704,32767,32768,32831,64
23552,32704,32767,32768,32831,64
24576,32704,32767,32768,32831,64
